Issue Key,Summary,Type,Priority,Sprint,Story Points,Labels,Description,Phase,Workflow Status
CF-001,Project scaffolding: Initialize Next.js + TypeScript + Tailwind,PStory,High,Sprint 1,5,infra setup,"Set up Next.js 14 App Router project with TypeScript strict mode, Tailwind CSS 4, ESLint, Prettier. Configure path aliases, env handling (.env.local), and folder structure (app/, lib/, components/, types/).",Phase 0: Foundation,Done
CF-002,Database schema: ContentFlow data model with Drizzle ORM,PStory,High,Sprint 1,8,infra database,"Design and implement PostgreSQL schema via Drizzle ORM: users, workspaces, tables, records, fields, views, activity_log. Include migrations setup. Use Supabase Postgres for managed DB.",Phase 0: Foundation,Done
CF-003,Authentication: Clerk integration for user management,PStory,High,Sprint 1,5,infra auth,"Integrate Clerk for sign-up/sign-in, session management, and user profiles. Configure webhooks for user lifecycle events. Support Google, GitHub, email magic link providers.",Phase 0: Foundation,Done
CF-004,Real-time data layer: Supabase Realtime for live collaboration,PStory,High,Sprint 1,8,infra realtime,"Set up Supabase Realtime subscriptions for record changes, field updates, and view state sync. Implement optimistic updates with conflict resolution.",Phase 0: Foundation,Done
CF-005,App shell: Layout with sidebar navigation and workspace switcher,PStory,High,Sprint 2,5,ui core,"Build responsive app shell: collapsible sidebar (workspace list, table list, view list), top bar (breadcrumbs, search, user menu), main content area. Match Airtable layout patterns from current index.html.",Phase 0: Foundation,Done
CF-006,Design system: Build token-based design system from current CSS,PStory,High,Sprint 2,5,ui design-system,"Extract current CSS custom properties into a proper design system: color tokens, typography scale, spacing, radii, shadows. Create reusable component primitives (Button, Input, Select, Badge, Avatar). Support light/dark themes.",Phase 0: Foundation,Done
CF-007,API layer: REST/Trpc endpoints for CRUD operations,PStory,High,Sprint 2,8,api backend,"Implement API routes for workspace, table, record, and field CRUD. Use tRPC for type-safe API contracts. Include input validation, error handling, and rate limiting.",Phase 0: Foundation,Done
CF-008,Data seeding: Editorial sample data and migration scripts,PStory,Medium,Sprint 2,3,data seed,"Create seed scripts that populate a new workspace with the 18-sample editorial records from current index.html. Include realistic content types, statuses, assignees, and dates.",Phase 0: Foundation,Done
CF-009,Grid view: Editable spreadsheet with column types and inline edit,PStory,Critical,Sprint 3,13,ui views grid,"Port and enhance the Grid view from index.html into a React component. Implement: sticky headers, column resize, inline cell editing (text, select, date, number, checkbox, collaborator), row selection, column reorder. Use virtual scrolling for large datasets.",Phase 1: Core Product,Done
CF-010,Kanban view: Drag-and-drop card board by status column,PStory,Critical,Sprint 3,8,ui views kanban,"Port Kanban view with real drag-and-drop (use @dnd-kit). Cards grouped by status with: title, type tag, assignee avatar, due date, word count. Support adding new cards per column. Smooth animations.",Phase 1: Core Product,Done
